id,x,y,diameter,orientation_x,orientation_y,orientation_z
362,-39.6348,-47.5132,0.0566,0.0106,0.0068,0.9999
363,-31.0303,-56.3233,0.0815,0.5503,0.2028,0.81
364,-30.0535,-56.3304,0.0742,0.0771,-0.0351,0.9964
365,-24.1094,-52.877,0.0516,-0.0548,-0.0469,0.9974
366,-40.5469,-46.9871,0.0555,0.019,0.0118,0.9998
367,-40.3482,-50.5442,0.0676,-0.0391,0.0436,0.9983
368,-39.3412,-51.1449,0.0641,0.0026,-0.0498,0.9988
369,-38.4039,-51.6469,0.0624,0.0463,-0.0072,0.9989
370,-36.5655,-52.6771,0.0696,0.0702,-0.0283,0.9971
371,-30.8921,-55.779,0.1739,0.5361,0.1842,0.8238
372,-40.6397,-43.4713,0.0482,0.0123,0.0163,0.9998
373,-38.9605,-50.6509,0.1139,0.1257,-0.0679,0.9897
374,-41.29,-50.024,0.0557,0.0012,-0.0203,0.9998
375,-36.4107,-56.1397,0.0787,0.0415,0.0311,0.9987
376,-35.497,-56.6829,0.0815,-0.023,0.0085,0.9997
377,-34.5846,-57.1954,0.0745,0.0089,0.0067,0.9999
378,-29.1438,-56.8355,0.0726,0.0557,-0.0562,0.9969
379,-42.2831,-45.964,0.0463,0.0169,-0.0081,0.9998
380,-34.213,-58.3293,0.1139,-0.4485,0.4442,0.7756
381,-33.562,-57.7617,0.0695,0.0186,-0.1173,0.9929
382,-32.6065,-58.298,0.0776,0.05,0.016,0.9986
383,-32.0141,-58.1587,0.092,0.5144,-0.0946,0.8523
384,-25.7438,-55.3756,0.0579,-0.0058,-0.0475,0.9989
385,-42.1991,-49.5046,0.0519,0.0084,0.0076,0.9999
386,-40.971,-53.6432,0.0588,0.0271,-0.0441,0.9987
387,-39.1047,-54.6252,0.0716,0.0386,-0.0189,0.9991
388,-38.1744,-55.1345,0.0733,0.0697,-0.0066,0.9975
389,-31.6901,-58.8038,0.0753,0.0771,-0.0754,0.9942
390,-40.0395,-54.1418,0.0673,0.0362,-0.0778,0.9963
391,-35.2443,-60.2759,0.0713,0.0182,-0.0441,0.9989
392,-30.7867,-59.3309,0.0653,0.05,-0.0352,0.9981
393,-42.907,-52.4994,0.0576,0.0124,0.0201,0.9997
394,-41.9897,-53.0201,0.0653,0.0332,0.0398,0.9987
395,-41.6931,-56.6562,0.067,0.0497,-0.0443,0.9978
396,-39.857,-57.6821,0.0801,0.0086,-0.0584,0.9983
397,-38.0745,-58.7002,0.0784,0.0341,-0.0143,0.9993
398,-37.1538,-59.2194,0.0855,-0.0272,-0.0414,0.9988
399,-43.8276,-51.9832,0.0581,-0.0119,-0.0107,0.9999
400,-34.2615,-60.8209,0.0758,0.0622,0.0111,0.998
401,-33.336,-61.3295,0.0727,0.0561,-0.0544,0.9969
